здесь	zʲ dʲ e sʲ
антибольшевистском	ɐ ɲ tʲ ɪ b o ʎ ʂ ɨ vʲ i s̪ t̪ s̪ k ə m
антибольшевистскую	a ɲ tʲ ɪ b o ʎ ʂ ɨ vʲ i s̪ t̪ s̪ k ʊ j ʊ
антибольшевистскую	ɐ ɲ tʲ ɪ b o ʎ ʂ ɨ vʲ i s̪ t̪ s̪ k ʊ j ʊ
антилоп	ɐ ɲ tʲ ɪ ɫ o p
антиквариата	ɐ ɲ tʲ ɪ k v ə rʲ ɪ a t̪ ə
антипа	ɐ ɲ tʲ ɪ p ə
антипке	ɐ ɲ tʲ ɪ p c e
антип	ɐ ɲ tʲ ɪ p
антиподам	ɐ ɲ tʲ ɪ p o d̪ ə m
антипка	ɐ ɲ tʲ ɪ p k a
антипу	ɐ ɲ tʲ ɪ p ʊ
антиправительственных	ɐ ɲ tʲ ɪ p r ɐ vʲ i tʲ ɪ ʎ s̪ t̪ vʲ ɪ n̪ː ɨ x
античным	ɐ ɲ tʲ i tɕ n̪ ɨ m
антисемитизм	a ɲ tʲ ɪ sʲ ɪ mʲ ɪ tʲ i z̪ m
антон	ɐ n̪ t̪ o n̪
антонио	ɐ n̪ t̪ ə ɲ ɪ o
антонов	ɐ n̪ t̪ o n̪ ə f
антона	ɐ n̪ t̪ o n̪ ə
антоновку	ɐ n̪ t̪ o n̪ ə f k ʊ
антоновну	ɐ n̪ t̪ o n̪ ə v n̪ ʊ
антоновна	ɐ n̪ t̪ o n̪ ə v n̪ ə
антракте	ɐ n̪ t̪ r a c tʲ e
антоном	ɐ n̪ t̪ o n̪ ə m
антону	ɐ n̪ t̪ o n̪ ʊ
анубис	ɐ n̪ u bʲ ɪ s̪
анубису	ɐ n̪ u bʲ ɪ s̪ u
анубису	ɐ n̪ u bʲ ɪ s̪ ʊ
анфракс	ɐ n̪ f r a k s̪
анфракс	ɐ n̪ f r ɐ k s̪
анфракс	ɐ n̪ f r ə k s̪
анубиса	ɐ n̪ u bʲ ɪ s̪ ə
анфилада	ɐ n̪ fʲ ɪ ɫ a d̪ ə
апатии	ɐ p a tʲ ɪ ɪ
апатичен	ɐ p ɐ tʲ i tɕ ɪ n̪
апатически	ɐ p ɐ tʲ i tɕ ɪ s̪ c i
апатически	ɐ p ɐ tʲ i tɕ ɪ s̪ c ɪ
апатическим	ɐ p ɐ tʲ i tɕ ɪ s̪ c ɪ m
апатический	ɐ p ɐ tʲ i tɕ ɪ s̪ c ɪ j
апатию	ɐ p a tʲ ɪ j ʊ
апатия	ɐ p a tʲ ɪ j ə
апелляции	ɐ pʲ ɪ ʎː a t̪s̪ ɨ ɪ
апельсинов	ɐ pʲ ɪ ʎ sʲ i n̪ ə f
апельсин	ɐ pʲ ɪ ʎ sʲ i n̪
апельсины	ɐ pʲ ɪ ʎ sʲ i n̪ ɨ
апельсина	ɐ pʲ ɪ ʎ sʲ i n̪ ə
апельсиновой	ɐ pʲ ɪ ʎ sʲ i n̪ ə v ə j
аплодируя	ɐ p ɫ ɐ dʲ i r ʊ j ə
апис	a pʲ i s̪
апис	a pʲ ɪ s̪
апис	ɐ pʲ i s̪
апис	ɐ pʲ ɪ s̪
аплодисментами	ɐ p ɫ ə dʲ ɪ s̪ mʲ e n̪ t̪ ə mʲ ɪ
апокриф	ɐ p o c rʲ ɪ f
апокрифическое	ɐ p o c rʲ ɪ fʲ i tɕ ɪ s̪ k ə j ə
аполлона	ɐ p ɐ ɫː o n̪ ə
апоплексическому	ɐ p ɐ p ʎ e c sʲ i tɕ ɪ s̪ k ə m ʊ
апоплексическому	ɐ p ɐ p ʎ ɪ c sʲ i tɕ ɪ s̪ k ə m ʊ
апоплексическому	ɐ p ə p ʎ ɪ c sʲ i tɕ ɪ s̪ k ə m ʊ
апоплексический	ɐ p ɐ p ʎ e c sʲ i tɕ ɪ s̪ c ɪ j
апоплексический	ɐ p ɐ p ʎ ɪ c sʲ i tɕ ɪ s̪ c ɪ j
апоплексический	ɐ p ə p ʎ ɪ c sʲ i tɕ ɪ s̪ c ɪ j
апостолиди	ɐ p o s̪ t̪ ə ʎ ɪ dʲ i
апофеозом	ɐ p ə fʲ ɪ o z̪ ə m
апостолы	ɐ p o s̪ t̪ ə ɫ ɨ
аппарата	ɐ pː ɐ r a t̪ ə
аппарат	ɐ pː ɐ r a t̪
аппаратов	ɐ pː ɐ r a t̪ ə f
аппендициты	ɐ pʲː ɪ ɲ dʲ ɪ t̪s̪ ɨ t̪ ɨ
аппетит	ɐ pʲː ɪ tʲ i t̪
аппетитом	ɐ pʲː ɪ tʲ i t̪ ə m
аппетитно	ɐ pʲː ɪ tʲ i t̪ n̪ ə
апраксина	ɐ p r a c sʲ ɪ n̪ ə
апреле	ɐ p rʲ e ʎ e
аптекарь	ɐ p tʲ e k ə rʲ
апрельских	ɐ p rʲ e ʎ s̪ c ɪ x
аптечки	ɐ p tʲ e tɕ c ɪ
арабески	ɐ r ɐ bʲ e s̪ c ɪ
арабов	ɐ r a b ə f
аравийской	ɐ r ɐ vʲ i j s̪ k ə j
аравийской	ɐ r ə vʲ i j s̪ k ə j
аптечный	ɐ p tʲ e tɕ n̪ ɨ j
арагонский	ɐ r ɐ ɡ o n̪ s̪ c ɪ j
арамисом	ɐ r a mʲ ɪ s̪ ə m
арамисом	ɐ r ɐ mʲ i s̪ ə m
арамисом	ɐ r ə mʲ ɪ s̪ ə m
арагон	ɐ r ɐ ɡ o n̪
арапка	ɐ r a p k ə
арапку	ɐ r a p k ʊ
арбалетами	ɐ r b ɐ ʎ e t̪ ə mʲ ɪ
арбалеты	ɐ r b ɐ ʎ e t̪ ɨ
арбузов	ɐ r b u z̪ ə f
арбуз	ɐ r b u s̪
арбузы	ɐ r b u z̪ ɨ
арбы	a r b ɨ
арбы	ɐ r b ɨ
аргентина	ɐ r ɟ ɪ ɲ tʲ i n̪ ə
аргентинец	ɐ r ɟ ɪ ɲ tʲ i ɲ ɪ t̪s̪
аргентине	ɐ r ɟ ɪ ɲ tʲ i ɲ e
аргентинские	ɐ r ɟ ɪ ɲ tʲ i n̪ s̪ c ɪ j e
аргентинским	ɐ r ɟ ɪ ɲ tʲ i n̪ s̪ c ɪ m
аргентинский	ɐ r ɟ ɪ ɲ tʲ i n̪ s̪ c ɪ j
аргентинских	ɐ r ɟ ɪ ɲ tʲ i n̪ s̪ c ɪ x
аргентинского	ɐ r ɟ ɪ ɲ tʲ i n̪ s̪ k ə v ə
аргентинскому	ɐ r ɟ ɪ ɲ tʲ i n̪ s̪ k ə m ʊ
аргентинскую	ɐ r ɟ ɪ ɲ tʲ i n̪ s̪ k ʊ j ʊ
аргентинское	ɐ r ɟ ɪ ɲ tʲ i n̪ s̪ k ə j ə
аргентину	ɐ r ɟ ɪ ɲ tʲ i n̪ ʊ
аргентинца	ɐ r ɟ ɪ ɲ tʲ i n̪ t̪s̪ ə
аргентинцы	ɐ r ɟ ɪ ɲ tʲ i n̪ t̪s̪ ɨ
аргентинцем	ɐ r ɟ ɪ ɲ tʲ i n̪ t̪s̪ ɨ m
аргентины	ɐ r ɟ ɪ ɲ tʲ i n̪ ɨ
аргириди	ɐ r ɟ i rʲ ɪ dʲ i
аргириди	ɐ r ɟ i rʲ ɪ dʲ ɪ
аргириди	ɐ r ɟ ɪ rʲ i dʲ ɪ
арговии	ɐ r ɡ o vʲ ɪ ɪ
аргументом	ɐ r ɡ ʊ mʲ e n̪ t̪ ə m
аревуар	ɐ rʲ ɪ v ʊ a r
арена	ɐ rʲ e n̪ ə
аренду	ɐ rʲ e n̪ d̪ ʊ
аренду	ɐ rʲ ɪ n̪ d̪ u
арендатором	ɐ rʲ ɪ n̪ d̪ a t̪ ə r ə m
аренды	ɐ rʲ e n̪ d̪ ɨ
арене	ɐ rʲ e ɲ e
арену	ɐ rʲ e n̪ ʊ
арены	ɐ rʲ e n̪ ɨ
ареста	ɐ rʲ e s̪ t̪ ə
арестант	ɐ rʲ ɪ s̪ t̪ a n̪ t̪
арест	ɐ rʲ e s̪ t̪
арестанта	ɐ rʲ ɪ s̪ t̪ a n̪ t̪ ə
арестантабуяна	ɐ rʲ ɪ s̪ t̪ a n̪ t̪ ə b ʊ j a n̪ ə
арестантам	ɐ rʲ ɪ s̪ t̪ a n̪ t̪ ə m
арестантами	ɐ rʲ ɪ s̪ t̪ a n̪ t̪ ə mʲ ɪ
арестантов	ɐ rʲ ɪ s̪ t̪ a n̪ t̪ ə f
арестантский	ɐ rʲ ɪ s̪ t̪ a n̪ t̪ s̪ c ɪ j
аресте	ɐ rʲ e sʲ tʲ e
арестанты	ɐ rʲ ɪ s̪ t̪ a n̪ t̪ ɨ
арестовали	ɐ rʲ ɪ s̪ t̪ ɐ v a ʎ ɪ
арестовала	ɐ rʲ ɪ s̪ t̪ ɐ v a ɫ ə
арестован	ɐ rʲ ɪ s̪ t̪ o v ə n̪
арестованных	ɐ rʲ ɪ s̪ t̪ o v ə n̪ː ɨ x
арестованные	ɐ rʲ ɪ s̪ t̪ o v ə n̪ː ɨ j e
арестованы	ɐ rʲ ɪ s̪ t̪ o v ə n̪ ɨ
арестовать	ɐ rʲ ɪ s̪ t̪ ɐ v a tʲ
арестом	ɐ r ɛ s̪ t̪ ə m
арестом	ɐ rʲ e s̪ t̪ ə m
арестом	ɐ rʲ ɪ s̪ t̪ o m
арестом	ɐ rʲ ɪ s̪ t̪ ə m
арестовывать	ɐ rʲ ɪ s̪ t̪ o v ɨ v ə tʲ
аресту	ɐ rʲ e s̪ t̪ ʊ
аресту	ɐ rʲ ɪ s̪ t̪ u
арестуют	ɐ rʲ ɪ s̪ t̪ u j ʊ t̪
арии	a rʲ ɪ ɪ
арии	ɐ rʲ i ɪ
арии	ɐ rʲ ɪ ɪ
арий	a rʲ ɪ j
арий	ɐ rʲ i j
аресты	ɐ rʲ e s̪ t̪ ɨ
аресты	ɐ rʲ ɪ s̪ t̪ ɨ
аристократической	ɐ rʲ ɪ s̪ t̪ ə k r ɐ tʲ i tɕ ɪ s̪ k ə j
аристократическим	ɐ rʲ ɪ s̪ t̪ ə k r ɐ tʲ i tɕ ɪ s̪ c ɪ m
аристократию	ɐ rʲ ɪ s̪ t̪ ɐ k r a tʲ ɪ j ʊ
аристократическою	ɐ rʲ ɪ s̪ t̪ ə k r ɐ tʲ i tɕ ɪ s̪ k ə j ʊ
арифметике	ɐ rʲ ɪ fʲ mʲ e tʲ ɪ c e
арию	a rʲ ɪ j ʊ
ария	a rʲ ɪ j ə
арифметикою	ɐ rʲ ɪ fʲ mʲ e tʲ ɪ k ə j ʊ
арки	a r c ɪ
аркаше	ɐ r k a ʂ ɨ
аркаша	ɐ r k a ʂ ə
армейского	ɐ r mʲ e j s̪ k ə v ə
армантьера	ɐ r m ɐ ɲ tʲ j e r ə
армейские	ɐ r mʲ e j s̪ c ɪ j e
армии	a r mʲ ɪ ɪ
армении	ɐ r mʲ e ɲ ɪ ɪ
армией	a r mʲ ɪ j ɪ j
армия	a r mʲ ɪ j ə
армий	a r mʲ ɪ j
армию	a r mʲ ɪ j ʊ
армяк	ɐ r mʲ a k
армяке	ɐ r mʲ ɪ c e
армячишка	ɐ r mʲ ɪ tɕ i ʂ k ə
аромат	ɐ r ɐ m a t̪
ароматами	ɐ r ɐ m a t̪ ə mʲ ɪ
аромате	ɐ r ɐ m a tʲ e
ароматическими	ɐ r ə m ɐ tʲ i tɕ ɪ s̪ c ɪ mʲ ɪ
аромата	ɐ r ɐ m a t̪ ə
ароматических	ɐ r ə m ɐ tʲ i tɕ ɪ s̪ c ɪ x
ароматической	ɐ r ə m ɐ tʲ i tɕ ɪ s̪ k ə j
ароматное	ɐ r ɐ m a t̪ n̪ ə j ə
ароматны	ɐ r ɐ m a t̪ n̪ ɨ
ароматным	ɐ r ɐ m a t̪ n̪ ɨ m
ароматные	ɐ r ɐ m a t̪ n̪ ɨ j e
ароматом	ɐ r ɐ m a t̪ ə m
ароматы	ɐ r ɐ m a t̪ ɨ
арсенал	ɐ r sʲ ɪ n̪ a ɫ
ароматных	ɐ r ɐ m a t̪ n̪ ɨ x
арсенала	ɐ r sʲ ɪ n̪ a ɫ ə
арсеналом	ɐ r sʲ ɪ n̪ a ɫ ə m
артели	ɐ r tʲ e ʎ ɪ
артель	ɐ r tʲ e ʎ
артелью	ɐ r tʲ e ʎ j ʊ
артелях	ɐ r tʲ e ʎ ə x
артерией	ɐ r t̪ ɛ rʲ ɪ j ɪ j
артемью	ɐ r tʲ ɪ mʲ j ʊ
артемий	ɐ r tʲ ɪ mʲ i j
артиллерией	ɐ r tʲ ɪ ʎː e rʲ ɪ j ɪ j
артерии	ɐ r t̪ ɛ rʲ ɪ ɪ
артиллерии	ɐ r tʲ ɪ ʎː e rʲ ɪ ɪ
артиллерийскими	ɐ r tʲ ɪ ʎː ɪ rʲ i j s̪ c ɪ mʲ ɪ
артиллерийские	ɐ r tʲ ɪ ʎː ɪ rʲ i j s̪ c ɪ j e
артиллерийское	ɐ r tʲ ɪ ʎː ɪ rʲ i j s̪ k ə j ə
артиллерияматушка	ɐ r tʲ ɪ ʎː e rʲ ɪ j a m a t̪ ʊ ʂ k a
артиллерияматушка	ɐ r tʲ ɪ ʎː e rʲ ɪ j a m a t̪ ʊ ʂ k ə
артиллерияматушка	ɐ r tʲ ɪ ʎː e rʲ ɪ j ə m a t̪ ʊ ʂ k ə
артиллеристы	ɐ r tʲ ɪ ʎː ɪ rʲ i s̪ t̪ ɨ
артиллерия	ɐ r tʲ ɪ ʎː e rʲ ɪ j ə
артиста	ɐ r tʲ i s̪ t̪ ə
артистам	ɐ r tʲ i s̪ t̪ ə m
артист	ɐ r tʲ i s̪ t̪
артистически	ɐ r tʲ ɪ sʲ tʲ i tɕ ɪ s̪ c i
артистически	ɐ r tʲ ɪ sʲ tʲ i tɕ ɪ s̪ c ɪ
артистического	ɐ r tʲ ɪ sʲ tʲ i tɕ ɪ s̪ k ə v ə
артистической	ɐ r tʲ ɪ sʲ tʲ i tɕ ɪ s̪ k ə j
артисты	ɐ r tʲ i s̪ t̪ ɨ
артистом	ɐ r tʲ i s̪ t̪ ə m
артистов	ɐ r tʲ i s̪ t̪ ə f
арфах	a r f ə x
архангел	ɐ r x a n̪ ɟ ɪ ɫ
архангельск	ɐ r x a n̪ ɟ ɪ ʎ s̪ k
архангелаблаговестника	ɐ r x a n̪ ɟ ɪ ɫ a b ɫ ə ɡ ɐ vʲ e sʲ ɲ ɪ k ə
архангелаблаговестника	ɐ r x a n̪ ɟ ɪ ɫ ə b ɫ ə ɡ ɐ vʲ e sʲ ɲ ɪ k ə
археолог	ɐ r ç ɪ o ɫ ə k
архив	ɐ r ç i f
археологов	ɐ r ç ɪ o ɫ ə ɡ ə f
архиереев	ɐ r ç ɪ j ɪ rʲ e j ɪ f
архива	ɐ r ç i v ə
архиереем	ɐ r ç ɪ j ɪ rʲ e j ɪ m
архиерей	ɐ r ç ɪ j ɪ rʲ e j
архиерею	ɐ r ç ɪ j ɪ rʲ e j ʊ
архимандрита	ɐ r ç ɪ m ɐ n̪ d̪ rʲ i t̪ ə
архип	ɐ r ç i p
архимандритом	ɐ r ç ɪ m ɐ n̪ d̪ rʲ i t̪ ə m
архимедова	ɐ r ç ɪ mʲ e d̪ ə v ə
архиплуты	ɐ r ç i p ɫ u t̪ ɨ
архиплуты	ɐ r ç i p ɫ ʊ t̪ ɨ
архитектор	ɐ r ç ɪ tʲ e k t̪ ə r
архитектором	ɐ r ç ɪ tʲ e k t̪ ə r ə m
архитектору	ɐ r ç ɪ tʲ e k t̪ ə r ʊ
архипелага	ɐ r ç ɪ pʲ ɪ ɫ a ɡ ə
архитектурной	ɐ r ç ɪ tʲ ɪ k t̪ u r n̪ ə j
архитектурой	ɐ r ç ɪ tʲ ɪ k t̪ u r ə j
архитектура	ɐ r ç ɪ tʲ ɪ k t̪ u r ə
аршин	ɐ r ʂ ɨ n̪
аршине	ɐ r ʂ ɨ ɲ e
аршина	ɐ r ʂ ɨ n̪ ə
арьергардной	ɐ rʲ j ɪ r ɡ a r d̪ n̪ ə j
асадо	ɐ s̪ a d̪ ə
арьергардные	ɐ rʲ j ɪ r ɡ a r d̪ n̪ ɨ j e
асессора	ɐ s̪ ɛ s̪ː ə r ə
асессором	ɐ s̪ ɛ s̪ː ə r ə m
ассигнации	ɐ sʲː ɪ ɡ n̪ a t̪s̪ ɨ ɪ
ассигнацию	ɐ sʲː ɪ ɡ n̪ a t̪s̪ ɨ j ʊ
ассигнациями	ɐ sʲː ɪ ɡ n̪ a t̪s̪ ɨ j ə mʲ ɪ
ассирийские	ɐ sʲː ɪ rʲ i j s̪ c ɪ j e
ассирийских	ɐ sʲː ɪ rʲ i j s̪ c ɪ x
ассирии	ɐ sʲː i rʲ ɪ ɪ
ассирийского	ɐ sʲː ɪ rʲ i j s̪ k ə v ə
ассирийскому	ɐ sʲː ɪ rʲ i j s̪ k ə m ʊ
ассистентов	ɐ sʲː ɪ sʲ tʲ e n̪ t̪ ə f
ассурские	ɐ s̪ː u r s̪ c ɪ j e
ассурские	ɐ s̪ː ʊ r s̪ c ɪ j e
астерикса	ɐ s̪ t̪ ɨ rʲ i k s̪ ə
астис	ɐ sʲ tʲ i s̪
астарте	ɐ s̪ t̪ a r tʲ e
астрахани	a s̪ t̪ r ə x ə ɲ ɪ
астория	ɐ s̪ t̪ o rʲ ɪ j ə
астория	ɐ s̪ t̪ ɐ rʲ i j ə
астраханские	ɐ s̪ t̪ r ɐ x a n̪ s̪ c ɪ j e
астролог	ɐ s̪ t̪ r o ɫ ə k
астролог	ɐ s̪ t̪ r ɐ ɫ o k
астрологов	ɐ s̪ t̪ r o ɫ ə ɡ ə f
астрономов	ɐ s̪ t̪ r ɐ n̪ o m ə f
ась	a sʲ
ась	ɐ sʲ
асфальтовосерой	ɐ s̪ f a ʎ t̪ ə v ɐ sʲ e r ə j
атака	ɐ t̪ a k ə
атаман	ɐ t̪ ɐ m a n̪
атаках	ɐ t̪ a k ə x
атамана	ɐ t̪ ɐ m a n̪ ə
атаманы	ɐ t̪ ɐ m a n̪ ɨ
атаманом	ɐ t̪ ɐ m a n̪ ə m
атанаис	a t̪ ə n̪ ɐ i s̪
атанаис	ɐ t̪ ɐ n̪ a ɪ s̪
атанаис	ɐ t̪ ɐ n̪ ɐ i s̪
ате	a tʲ e
ате	ɐ t̪ ɛ
атаргатис	ɐ t̪ ɐ r ɡ ɐ tʲ i s̪
ателье	ɐ t̪ ɨ ʎ j e
атеизма	ɐ t̪ ɨ i z̪ m ə
атласная	ɐ t̪ ɫ a s̪ n̪ ə j ə
атлет	ɐ t̪ ʎ e t̪
атеисту	ɐ t̪ ɨ i s̪ t̪ ʊ
атмосферы	ɐ t̪ m ɐ s̪ fʲ e r ɨ
атлетически	ɐ t̪ ʎ e tʲ i tɕ ɪ s̪ c i
атлетически	ɐ t̪ ʎ e tʲ i tɕ ɪ s̪ c ɪ
атмосфере	ɐ t̪ m ɐ s̪ fʲ e rʲ e
аттестат	ɐ tʲː ɪ s̪ t̪ a t̪
атрофировано	ɐ t̪ r ɐ fʲ i r ə v ə n̪ ə
атрибуты	ɐ t̪ rʲ ɪ b u t̪ ɨ
аттестате	ɐ tʲː ɪ s̪ t̪ a tʲ e
атуму	a t̪ ʊ m ʊ
аудитории	ɐ ʊ dʲ ɪ t̪ o rʲ ɪ ɪ
афимья	ɐ fʲ ɪ mʲ j a
афимья	ɐ fʲ ɪ mʲ j ə
аферу	ɐ fʲ e r ʊ
афанасьев	ɐ f ɐ n̪ a sʲ j ɪ f
афиша	ɐ fʲ i ʂ ə
афишами	ɐ fʲ i ʂ ə mʲ ɪ
афишах	ɐ fʲ i ʂ ə x
афиши	ɐ fʲ ɪ ʂ ɨ
афоризмы	ɐ f ɐ rʲ i z̪ m ɨ
афину	ɐ fʲ i n̪ ʊ
африки	a f rʲ ɪ c ɪ
африку	ɐ f rʲ ɪ k ʊ
ах	a x
ахала	a x ə ɫ ə
ахелар	ɐ ç ɪ ɫ a r
ахелар	ɐ ç ɪ ɫ ɐ r
ахелар	ɐ ç ɪ ɫ ə r
аханье	a x a ɲ j e
аханье	a x ə ɲ j e
аханье	ɐ x a ɲ j e
ахиллов	ɐ ç i ɫː ə f
ахиллов	ɐ ç ɫː ə f
ахии	a ç ɪ ɪ
ахии	ɐ ç ɪ ɪ
ахимаас	ɐ ç ɪ m ɐ a s̪
ахилуда	ɐ ç u d̪ ə
ахиора	ɐ ç ɪ o r ə
ахиор	ɐ ç ɪ o r
ахиору	ɐ ç ɪ o r ʊ
ахимааса	ɐ ç ɪ m ɐ a s̪ ə
ахимааса	ɐ ç ɪ m ɐ s̪ a
ахиоровой	ɐ ç ɪ o r ɐ v o j
ахиоровой	ɐ ç ɪ o r ə v ə j
ахиссару	ɐ ç ɪ s̪ː a r ʊ
ахия	a ç ɪ j ə
ахнул	a x n̪ ʊ ɫ
ахнули	a x n̪ ʊ ʎ ɪ
ахнула	a x n̪ ʊ ɫ ə
ахтерштевен	a x tʲ ɪ r ʂ t̪ ɛ vʲ ɪ n̪
ахтерштевен	ɐ x tʲ ɪ r ʂ t̪ ɛ vʲ ɪ n̪
ашера	ɐ ʂ ɛ r ə
ашеры	ɐ ʂ ɛ r ɨ
аша	ɐ ʂ a
аэрмона	a ɪ r m o n̪ ə
аэрмона	a ɪ r m ə n̪ ə
аэрмона	ɐ ɪ r m o n̪ ə
аэроплана	ɐ ɪ r ɐ p ɫ a n̪ ə
аэропланам	ɐ ɪ r ɐ p ɫ a n̪ ə m
аэроплан	ɐ ɪ r ɐ p ɫ a n̪
аэропланами	ɐ ɪ r ɐ p ɫ a n̪ ə mʲ ɪ
аэроплане	ɐ ɪ r ɐ p ɫ a ɲ e
аэропланах	ɐ ɪ r ɐ p ɫ a n̪ ə x
аэропланы	ɐ ɪ r ɐ p ɫ a n̪ ɨ
б	b ɛ
б	p
б	p ɛ
аэростатов	ɐ ɪ r ɐ s̪ t̪ a t̪ ə f
бльшим	b ʎ ʂ ɨ m
ба	b a
ба	b ə
баальбек	b ɐ ɐ ʎ bʲ e k
баб	b a p
бабэльмандеба	b a b ɛ ʎ m ɐ ɲ dʲ e b ə
бабэльмандеба	b ɐ b ɛ ʎ m ɐ n̪ d̪ ɛ b ə
бабэльмандеба	b ɐ b ɛ ʎ m ɐ n̪ d̪ ɨ b ə
бабэльмандеба	b ɐ b ɛ ʎ m ɐ ɲ dʲ e b ə
бабэльмандеба	b ɐ b ʎ m ɐ ɲ dʲ e b ə
бабэльмандеба	b ə b ɛ ʎ m ɐ ɲ dʲ e b ə
баба	b a b ə
бабато	b ɐ b a t̪ ə
бабам	b a b ə m
бабе	b a bʲ e
бабенке	b ɐ bʲ e n̪ c e
бабенка	b ɐ bʲ e n̪ k ə
бабой	b a b ə j
бабочек	b a b ə tɕ ɪ k
бабу	b a b ʊ
бабочки	b a b ə tɕ c ɪ
бабушек	b a b ʊ ʂ ɨ k
бабушке	b a b ʊ ʂ c e
бабушка	b a b ʊ ʂ k ə
бабушкин	b a b ʊ ʂ c i n̪
бабушкин	b a b ʊ ʂ c ɪ n̪
бабушкинской	b a b ʊ ʂ c i n̪ s̪ k o j
бабушкой	b a b ʊ ʂ k ə j
бабушки	b a b ʊ ʂ c i
бабушки	b a b ʊ ʂ c ɪ
бабушку	b a b ʊ ʂ k ʊ
бабы	b a b ɨ
бабьими	b ɐ bʲ j i mʲ ɪ
бабья	b ɐ bʲ j a
бабья	b ɐ bʲ j ə
бабье	b ɐ bʲ j e
багажную	b ɐ ɡ a ʐ n̪ ʊ j ʊ
багажную	b ə ɡ ɐ ʐ n̪ ʊ j ʊ
багажа	b ə ɡ ɐ ʐ a
багаж	b ɐ ɡ a ʂ
багровой	b ɐ ɡ r o v ə j
багровому	b ɐ ɡ r o v ə m ʊ
багровым	b ɐ ɡ r o v ɨ m
багровы	b ɐ ɡ r o v ɨ
багряницу	b ɐ ɟ rʲ æ ɲ ɪ t̪s̪ ʊ
багром	b ɐ ɡ r o m
багряницы	b ɐ ɟ rʲ æ ɲ ɪ t̪s̪ ɨ
багряным	b ɐ ɟ rʲ a n̪ ɨ m
бает	b a j ɪ t̪
баз	b a s̪
базар	b ɐ z̪ a r
базара	b ɐ z̪ a r ə
базарах	b ɐ z̪ a r ə x
базаре	b ɐ z̪ a rʲ e
базарная	b ɐ z̪ a r n̪ ə j ə
базарными	b ɐ z̪ a r n̪ ɨ mʲ ɪ
базовых	b a z̪ ə v ɨ x
байбай	b ɐ j b a j
байбай	b ə j b a j
байдарская	b ɐ j d̪ a r s̪ k ə j ə
байки	b a j c ɪ
байками	b a j k ə mʲ ɪ
байрона	b ɐ j r o n̪ ə
бак	b a k
баке	b a c e
баке	b ɐ c e
баками	b a k ə mʲ ɪ
баками	b ɐ k a mʲ ɪ
бакенбардах	b ə c ɪ n̪ b a r d̪ ə x
бакенбардами	b ə c ɪ n̪ b a r d̪ ə mʲ ɪ
бакенбарда	b ə c ɪ n̪ b a r d̪ ə
бакенбарды	b ə c ɪ n̪ b a r d̪ ɨ
бакенбарду	b ə c ɪ n̪ b a r d̪ ʊ
бактерии	b ɐ c tʲ e rʲ ɪ ɪ
бактерии	b ɐ k t̪ ɛ rʲ ɪ ɪ
бактериологии	b ə c tʲ ɪ rʲ ɪ ɐ ɫ o ɟ ɪ ɪ
бактериологии	b ə k t̪ ɨ rʲ ɪ ɐ ɫ o ɟ ɪ ɪ
бактрии	b ə k t̪ rʲ i ɪ
бактрии	b ə k t̪ rʲ ɪ ɪ
бактры	b ɐ k t̪ r ɨ
бактры	b ə k t̪ r ɨ
бал	b a ɫ
бал	b ə ɫ
бала	b a ɫ ə
бала	b ɐ ɫ a
бала	b ə ɫ ə
балаган	b ə ɫ ɐ ɡ a n̪
балаклаве	b ə ɫ ɐ k ɫ a vʲ e
балаклава	b ə ɫ ɐ k ɫ a v ə
балаганы	b ə ɫ ɐ ɡ a n̪ ɨ
балаклавой	b ə ɫ ɐ k ɫ a v ə j
балаклавские	b ə ɫ ɐ k ɫ a f s̪ c ɪ j e
балаклавская	b ə ɫ ɐ k ɫ a f s̪ k ə j ə
балаклавским	b ə ɫ ɐ k ɫ a f s̪ c ɪ m
балаклавскими	b ə ɫ ɐ k ɫ a f s̪ c ɪ mʲ ɪ
балаклавских	b ə ɫ ɐ k ɫ a f s̪ c ɪ x
балаклавской	b ə ɫ ɐ k ɫ a f s̪ k o j
балаклавской	b ə ɫ ɐ k ɫ a f s̪ k ə j
балаклавского	b ə ɫ ɐ k ɫ a f s̪ k ə v ə
балаклавскому	b ə ɫ ɐ k ɫ a f s̪ k ə m ʊ
балаклаву	b ə ɫ ɐ k ɫ a v ʊ
балаклавскую	b ə ɫ ɐ k ɫ a f s̪ k ʊ j ʊ
балаклавцам	b ə ɫ ɐ k ɫ a f t̪s̪ ə m
балаклавцев	b ə ɫ ɐ k ɫ a f t̪s̪ ɨ f
балаклавцы	b ə ɫ ɐ k ɫ a f t̪s̪ ɨ
балаклавы	b ə ɫ ɐ k ɫ a v ɨ
балалайка	b ə ɫ ɐ ɫ a j k ə
баланс	b ɐ ɫ a n̪ s̪
баланды	b ɐ ɫ a n̪ d̪ ɨ
баланса	b ɐ ɫ a n̪ s̪ ə
балами	b a ɫ ə mʲ ɪ
балами	b ɐ ɫ a mʲ ɪ
балансирует	b ə ɫ ɐ ɲ sʲ i r ʊ j ɪ t̪
балах	b a ɫ ə x
балах	b ɐ ɫ a x
балахон	b ə ɫ ɐ x o n̪
балахнинского	b ə ɫ ɐ x ɲ i n̪ s̪ k ə v ə
бале	b a ʎ e
бале	b ɐ ʎ e
бале	b ə ʎ e
балета	b ɐ ʎ e t̪ ə
балке	b a ɫ c e
